integration,metric_name,metric_type,metric_enabled,metric_description
Mysql,net.abortedClientsPerSecond,rate,true,Aborted clients
Mysql,net.abortedConnectsPerSecond,rate,true,Aborted connects
Mysql,net.bytesReceivedPerSecond,rate,true,Bytes received
Mysql,net.bytesSentPerSecond,rate,true,Bytes sent
Mysql,net.connectionErrorsMaxConnectionsPerSecond,rate,true,Connection errors max connections
Mysql,net.connectionsPerSecond,rate,true,Connections
Mysql,net.maxUsedConnections,gauge,true,Max used connections
Mysql,net.threadsConnected,gauge,true,Threads connected
Mysql,net.threadsRunning,gauge,true,Threads running
Mysql,query.comDeletePerSecond,rate,true,Com delete
Mysql,query.comDeleteMultiPerSecond,rate,true,Com delete multi
Mysql,query.comInsertPerSecond,rate,true,Com insert
Mysql,query.comInsertSelectPerSecond,rate,true,Com insert select
Mysql,query.comReplaceSelectPerSecond,rate,true,Com replace select
Mysql,query.comSelectPerSecond,rate,true,Com select
Mysql,query.comUpdatePerSecond,rate,true,Com update
Mysql,query.comUpdateMultiPerSecond,rate,true,Com update multi
Mysql,db.handlerRollbackPerSecond,rate,true,Handler rollback
Mysql,query.preparedStmtCountPerSecond,rate,true,Prepared stmt count
Mysql,query.queriesPerSecond,rate,true,Queries
Mysql,query.questionsPerSecond,rate,true,Questions
Mysql,query.slowQueriesPerSecond,rate,true,Slow queries
Mysql,db.innodb.bufferPoolPagesData,gauge,true,Innodb buffer pool pages data
Mysql,db.innodb.bufferPoolPagesFree,gauge,true,Innodb buffer pool pages free
Mysql,db.innodb.bufferPoolPagesTotal,gauge,true,Innodb buffer pool pages total
Mysql,db.innodb.dataReadBytesPerSecond,rate,true,Innodb data read
Mysql,db.innodb.dataWrittenBytesPerSecond,rate,true,Innodb data written
Mysql,db.innodb.logWaitsPerSecond,rate,true,Innodb log waits
Mysql,db.innodb.rowLockCurrentWaits,gauge,true,Innodb row lock current waits
Mysql,db.innodb.rowLockTimeAvg,gauge,true,Innodb row lock time avg
Mysql,db.innodb.rowLockWaitsPerSecond,rate,true,Innodb row lock waits
Mysql,db.openFiles,gauge,true,Open files
Mysql,db.openTables,gauge,true,Open tables
Mysql,db.openedTablesPerSecond,rate,true,Opened tables
Mysql,db.qCacheFreeMemoryBytes,gauge,true,Qcache free memory
Mysql,db.qCacheNotCachedPerSecond,rate,true,Qcache not cached
Mysql,db.tablesLocksWaitedPerSecond,rate,true,Table locks waited
Mysql,db.qCacheUtilization,gauge,true,Qcache utilization
Mysql,db.qCacheHitRatio,gauge,true,Qcache hit ratio
Mysql,software.edition,attribute,true,version comment
Mysql,software.version,attribute,true,version
Mysql,cluster.nodeType,attribute,true,node type
Mysql,cluster.slaveRunning,gauge,true,value 1 means it is a replication slave connected to a replication master and both I/O and SQL threads are running
Mysql,db.createdTmpDiskTablesPerSecond,rate,true,Created tmp disk tables
Mysql,db.createdTmpFilesPerSecond,rate,true,Created tmp files
Mysql,db.createdTmpTablesPerSecond,rate,true,Created tmp tables
Mysql,db.handlerDeletePerSecond,rate,true,Handler delete
Mysql,db.handlerReadFirstPerSecond,rate,true,Handler read first
Mysql,db.handlerReadKeyPerSecond,rate,true,Handler read key
Mysql,db.handlerReadRndPerSecond,rate,true,Handler read rnd
Mysql,db.handlerReadRndNextPerSecond,rate,true,Handler read rnd next
Mysql,db.handlerUpdatePerSecond,rate,true,Handler update
Mysql,db.handlerWritePerSecond,rate,true,Handler write
Mysql,db.maxExecutionTimeExceededPerSecond,rate,true,Max execution time exceeded
